id;name;gm_inst
Muted 1;Muted 1;null
Muted 2;Muted 2;null
Muted 3;Muted 3;null
Muted Guitar 1;Muted Guitar 1;29
Muted Guitar 2;Muted Guitar 2;29
Muted Guitar 3;Muted Guitar 3;29
Nice;Nice;null
Nightmare;Nightmare;null
Nitesong;Nitesong;null
Noise HiHat 1;Noise HiHat 1;null
Noise HiHat 2;Noise HiHat 2;null
Noise HiHat 3;Noise HiHat 3;null
Noise HiHat 4;Noise HiHat 4;null
Noise Percussion;Noise Percussion;null
Noise Scratch;Noise Scratch;null
Noise Snare 1;Noise Snare 1;null
Noise Snare 2;Noise Snare 2;null
Noise Snare 3;Noise Snare 3;null
Noise Snare 4;Noise Snare 4;null
Noisy Escape;Noisy Escape;null
Nylon Guitar;Nylon Guitar;25
Oboe 1;Oboe 1;null
Oboe 2;Oboe 2;null
One Bubble 1;One Bubble 1;null
One Bubble 2;One Bubble 2;null
Open HiHat 1;Open HiHat 1;null
Open HiHat 2;Open HiHat 2;null
Open HiHat 3;Open HiHat 3;null
Open HiHat 4;Open HiHat 4;null
Open HiHat 5;Open HiHat 5;null
Open Noise HiHat;Open Noise HiHat;null
Orch Hit 1;Orch Hit 1;56
Orch Hit 2;Orch Hit 2;56
Orch Hit 3;Orch Hit 3;56
Orch Hit 4;Orch Hit 4;56
Organ Mallet 1;Organ Mallet 1;null
Organ Mallet 2;Organ Mallet 2;null
Organ Mallet 3;Organ Mallet 3;null
Organ Mallet 4;Organ Mallet 4;null
Organ Slide;Organ Slide;null
Oriental Bells;Oriental Bells;null
Oscar;Oscar;null
Ouch;Ouch;null
Outer Space;Outer Space;null
Pan Flute;Pan Flute;null
Peck;Peck;null
Perc Agogo;Perc Agogo;null
Perc Escape;Perc Escape;null
Perc Synth Mix;Perc Synth Mix;null
Perc Trombone;Perc Trombone;null
Percussive Organ;Percussive Organ;18
Piano Bell 1;Piano Bell 1;null
Piano Bell 2;Piano Bell 2;null
Piano Synth Lead;Piano Synth Lead;null
Piano+Organ;Piano+Organ;null
Piccolo;Piccolo;null
Pipe Organ 1;Pipe Organ 1;20
Pipe Organ 2;Pipe Organ 2;20
Pipe Organ 3;Pipe Organ 3;20
Pipe Organ 4;Pipe Organ 4;20
Pipe Organ Pedal;Pipe Organ Pedal;null
Pizzagogo 1;Pizzagogo 1;null
Pizzagogo 2;Pizzagogo 2;null
Pizzagogo 3;Pizzagogo 3;null
Pizzicato 1;Pizzicato 1;46
Pizzicato 2;Pizzicato 2;46
Pizzicato 3;Pizzicato 3;46
Polysynth;Polysynth;null
Polysynth Pad;Polysynth Pad;null
Power Chord 1;Power Chord 1;null
Power Chord 2;Power Chord 2;null
Power Ensemble;Power Ensemble;null
Power Synth Bass;Power Synth Bass;null
Pure Blipp;Pure Blipp;null
Quiet Scratch;Quiet Scratch;null
Raster Drive;Raster Drive;null
Recorder 1;Recorder 1;75
Recorder 2;Recorder 2;75
Recorder 3;Recorder 3;75
Reverb Tom;Reverb Tom;null
Ride 1;Ride 1;null
Ride 2;Ride 2;null
Rim Shot 1;Rim Shot 1;null
Rim Shot 2;Rim Shot 2;null
Rim Shot 3;Rim Shot 3;null
Rim Shot 4;Rim Shot 4;null
Ringstrings;Ringstrings;null
Rock Bass Drum;Rock Bass Drum;null
Rock Organ 1;Rock Organ 1;null
Rock Organ 2;Rock Organ 2;null
Roto-Tom;Roto-Tom;null
Saw Piano;Saw Piano;null
Saw Piano Vib;Saw Piano Vib;null
Saw Swell;Saw Swell;null
Sax 1;Sax 1;65
Sax 2;Sax 2;66
Sax 3;Sax 3;67
Sax 4;Sax 4;68
Sax 5;Sax 5;65
Sax 6;Sax 6;66
Scratch Echo;Scratch Echo;null
Scratch Tom;Scratch Tom;null
Scream;Scream;null
Shaker;Shaker;null
Shimmer;Shimmer;null
Short Bass;Short Bass;null
Short Bass Piano;Short Bass Piano;null
Short Brass Beep;Short Brass Beep;null
Short Drum;Short Drum;null
Short Elec Bass;Short Elec Bass;null
Short ElTom;Short ElTom;null
Short Guitar;Short Guitar;null
Short Horns;Short Horns;null
Short Kettle;Short Kettle;null
Short Low Tom;Short Low Tom;null
Short Nightmare;Short Nightmare;null
Short Pan Flute1;Short Pan Flute 1;null
Short Pan Flute2;Short Pan Flute 2;null
Short Rich Brass;Short Rich Brass;null
Short Scratch;Short Scratch;null
Short Snare;Short Snare;null
Short SynthBass1;Short SynthBass 1;null
Short SynthBass2;Short SynthBass 2;null
Short SynthBass3;Short SynthBass 3;null
Short SynthBass4;Short SynthBass 4;null
Short SynthPiano;Short SynthPiano;null
Short Whistle;Short Whistle;null
Simm;Simm;null
Simple EPiano 1;Simple EPiano 1;null
Simple EPiano 2;Simple EPiano 2;null
Simple EPiano 3;Simple EPiano 3;null
Simple EPiano 4;Simple EPiano 4;null
Simple EPiano 5;Simple EPiano 5;null
Simple EPiano 6;Simple EPiano 6;null
Sine Chime;Sine Chime;null
Sine Gong;Sine Gong;null
Sine Wave;Sine Wave;null
Sixtease;Sixtease;null
Slap Bass 1;Slap Bass 1;null
Slap Bass 2;Slap Bass 2;null
Slap Bass 3;Slap Bass 3;null
Slap Bass 4;Slap Bass 4;null
Slap Bass 5;Slap Bass 5;null
Smashing Glass 1;Smashing Glass 1;null
Smashing Glass 2;Smashing Glass 2;null
Smashing Glass 3;Smashing Glass 3;null
Snare 1;Snare 1;null
Snare 2;Snare 2;null
Snare 3;Snare 3;null
Snare+Block;Snare+Block;null
Snip;Snip;null
Soft Bass;Soft Bass;null
Soft Cymbal 1;Soft Cymbal 1;null
Soft Cymbal 2;Soft Cymbal 2;null
Soft Cymbal 3;Soft Cymbal 3;null
Soft Flute;Soft Flute;null
Soft Organ;Soft Organ;null
Solo Guitar;Solo Guitar;null
Soundtrack 1;Soundtrack 1;null
Soundtrack 2;Soundtrack 2;null
Space Bells;Space Bells;null
Space Escape Pad;Space Escape Pad;null
Space Halo;Space Halo;null
Space Pad;Space Pad;null
Steel Drums;Steel Drums;null
Strange Mallet;Strange Mallet;null
String Chord;String Chord;null
String Ensemble;String Ensemble;null
String Hit;String Hit;null
String Lead;String Lead;null
String Swell;String Swell;null
Super Pluck;Super Pluck;null
Super SynStrings;Super SynStrings;null
Synth Banjo 1;Synth Banjo 1;null
Synth Banjo 2;Synth Banjo 2;null
Synth Bass 1;Synth Bass 1;null
Synth Bass 2;Synth Bass 2;null
Synth Bass 3;Synth Bass 3;null
Synth Bass 4;Synth Bass 4;null
Synth Bass 5;Synth Bass 5;null
Synth Bass Slide;Synth Bass Slide;null
Synth Bells;Synth Bells;null
Synth Birds;Synth Birds;null
Synth Brass 1;Synth Brass 1;null
Synth Brass 2;Synth Brass 2;null
Synth Bubbles;Synth Bubbles;null
Synth Chimes 1;Synth Chimes 1;null
Synth Chimes 2;Synth Chimes 2;null
Synth Clarinet;Synth Clarinet;null
Synth Flute;Synth Flute;null
Synth Growl;Synth Growl;null
Synth Laughter;Synth Laughter;null
Synth Lead;Synth Lead;null
Synth Marimba 1;Synth Marimba 1;null
Synth Marimba 2;Synth Marimba 2;null
Synth Noise;Synth Noise;null
Synth Oohs;Synth Oohs;null
Synth Perc 1;Synth Perc 1;null
Synth Perc 2;Synth Perc 2;null
Synth Piano 1;Synth Piano 1;null
Synth Piano 2;Synth Piano 2;null
Synth Piano 3;Synth Piano 3;null
Synth Reed 1;Synth Reed 1;null
Synth Reed 2;Synth Reed 2;null
Synth Reed 3;Synth Reed 3;null
Synth Reed 4;Synth Reed 4;null
Synth Reed 5;Synth Reed 5;null
Synth Reed 6;Synth Reed 6;null
Synth Reed 7;Synth Reed 7;null
Synth Reed 8;Synth Reed 8;null
Synth Scratch;Synth Scratch;null
Synth Scratch 1;Synth Scratch 1;null
Synth Scratch 2;Synth Scratch 2;null
Synth Scratch 3;Synth Scratch 3;null
Synth Scratch 4;Synth Scratch 4;null
Synth Snare;Synth Snare;null
Synth Strings 1;Synth Strings 1;null
Synth Strings 2;Synth Strings 2;null
Synth Violin 1;Synth Violin 1;null
Synth Violin 2;Synth Violin 2;null
Synth Voices 1;Synth Voices 1;null
Synth Voices 2;Synth Voices 2;null
Synthy Bass 1;Synthy Bass 1;null
Synthy Bass 2;Synthy Bass 2;null
Tech Snare;Tech Snare;null
Telephone Ring 1;Telephone Ring 1;null
Telephone Ring 2;Telephone Ring 2;null
Thin Trombone;Thin Trombone;null
Thin Trumpet;Thin Trumpet;null
Tine Wave;Tine Wave;null
Trombone;Trombone;null
Tropical Mallet;Tropical Mallet;null
Trumpet 1;Trumpet 1;null
Trumpet 2;Trumpet 2;null
Trumpet Fall;Trumpet Fall;null
Tuba 1;Tuba 1;null
Tuba 2;Tuba 2;null
Tubular Bells;Tubular Bells;null
Tune 1;Tune 1;null
Tune 2;Tune 2;null
Vibes 1;Vibes 1;null
Vibes 2;Vibes 2;null
Vibes 3;Vibes 3;null
Vibes 4;Vibes 4;null
Vibes 5;Vibes 5;null
Vibrato Solo;Vibrato Solo;null
Violin;Violin;null
Violin Bow;Violin Bow;null
Voice Oohs;Voice Oohs;null
Voice Synth;Voice Synth;null
Warm Bells;Warm Bells;null
Warm Clarinet;Warm Clarinet;null
Warm Oboe;Warm Oboe;null
Weird Organ 1;Weird Organ 1;null
Weird Organ 2;Weird Organ 2;null
Weird Snare;Weird Snare;null
Whee! 1;Whee! 1;null
Whee! 2;Whee! 2;null
Whip;Whip;null
Whisper Piano;Whisper Piano;null
Wind;Wind;null
Woodblock 1;Woodblock 1;116
Woodblock 2;Woodblock 2;116
Woodblock 3;Woodblock 3;116
Woodblock 4;Woodblock 4;116
Woodblock 5;Woodblock 5;116
Woodblock 6;Woodblock 6;116
Woofy Whee;Woofy Whee;null
Woofy Wow;Woofy Wow;null
Xeno;Xeno;null
Xylophone 1;Xylophone 1;14
Xylophone 2;Xylophone 2;14
