id;name;color_r;color_g;color_b;group
113;Agogo;0.1;0.1;0.05;perc
114;Steel Drums;0.56;0.57;0.57;perc
115;Woodblock;0.88;0.68;0.44;perc
116;Taiko Drum;0.36;0.07;0;perc
117;Melodic Tom;0.84;0.77;0.71;perc
118;Synth Drum;0.77;0.04;0.03;perc
119;Reverse Cymbal;0.71;0.61;0.36;perc
120;Guitar Fret Noise;0.9;0.62;0.35;perc
121;Breath Noise;0.94;0.76;0.7;sfx
122;Seashore;0.23;0.55;0.53;sfx
123;Bird Tweet;0.89;0.81;0.18;sfx
124;Telephone Ring;0.21;0.19;0.15;sfx
125;Helicopter;0.18;0.26;0.67;sfx
126;Applause;0.94;0.76;0.7;sfx
127;Gunshot;0.32;0.3;0.27;sfx
