id;outid;midigroup;name
114;;perc;Steel Drums
115;;perc;Woodblock
116;;perc;Taiko Drum
117;;perc;Melodic Tom
118;;perc;Synth Drum
119;;perc;Reverse Cymbal
120;;perc;Guitar Fret Noise
121;;sfx;Breath Noise
122;;sfx;Seashore
123;;sfx;Bird Tweet
124;;sfx;Telephone Ring
125;;sfx;Helicopter
126;;sfx;Applause
127;;sfx;Gunshot
